1721973758.021890 client started (905): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1721973758.021969 on Darwin 23.4.0 Darwin Kernel Version 23.4.0: Fri Mar 15 00:10:42 PDT 2024; root:xnu-10063.101.17~1/RELEASE_ARM64_T6000
1721973758.021982 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1721973758.021999 flags are 0x18010000
1721973758.022006 socket is /private/tmp/tmux-501/default
1721973758.022018 trying connect
1721973758.022053 add peer 0x138048000: 6 (0x0)
1721973758.023620 sending message 100 to peer 0x138048000 (4 bytes)
1721973758.023629 sending message 111 to peer 0x138048000 (8 bytes)
1721973758.023635 sending message 101 to peer 0x138048000 (15 bytes)
1721973758.023640 sending message 109 to peer 0x138048000 (4 bytes)
1721973758.023645 sending message 102 to peer 0x138048000 (13 bytes)
1721973758.023650 sending message 108 to peer 0x138048000 (24 bytes)
1721973758.023655 sending message 112 to peer 0x138048000 (58 bytes)
1721973758.023660 sending message 112 to peer 0x138048000 (5 bytes)
1721973758.023665 sending message 112 to peer 0x138048000 (5 bytes)
1721973758.023670 sending message 112 to peer 0x138048000 (6 bytes)
1721973758.023675 sending message 112 to peer 0x138048000 (6 bytes)
1721973758.023679 sending message 112 to peer 0x138048000 (11 bytes)
1721973758.023684 sending message 112 to peer 0x138048000 (10 bytes)
1721973758.023689 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023694 sending message 112 to peer 0x138048000 (14 bytes)
1721973758.023699 sending message 112 to peer 0x138048000 (19 bytes)
1721973758.023704 sending message 112 to peer 0x138048000 (11 bytes)
1721973758.023708 sending message 112 to peer 0x138048000 (10 bytes)
1721973758.023713 sending message 112 to peer 0x138048000 (15 bytes)
1721973758.023718 sending message 112 to peer 0x138048000 (21 bytes)
1721973758.023723 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023727 sending message 112 to peer 0x138048000 (7 bytes)
1721973758.023732 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023737 sending message 112 to peer 0x138048000 (7 bytes)
1721973758.023741 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023746 sending message 112 to peer 0x138048000 (9 bytes)
1721973758.023750 sending message 112 to peer 0x138048000 (21 bytes)
1721973758.023755 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023760 sending message 112 to peer 0x138048000 (9 bytes)
1721973758.023764 sending message 112 to peer 0x138048000 (16 bytes)
1721973758.023769 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023774 sending message 112 to peer 0x138048000 (9 bytes)
1721973758.023778 sending message 112 to peer 0x138048000 (9 bytes)
1721973758.023783 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.023787 sending message 112 to peer 0x138048000 (8 bytes)
1721973758.023792 sending message 112 to peer 0x138048000 (8 bytes)
1721973758.023797 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023801 sending message 112 to peer 0x138048000 (7 bytes)
1721973758.023806 sending message 112 to peer 0x138048000 (7 bytes)
1721973758.023810 sending message 112 to peer 0x138048000 (9 bytes)
1721973758.023815 sending message 112 to peer 0x138048000 (9 bytes)
1721973758.023820 sending message 112 to peer 0x138048000 (15 bytes)
1721973758.023824 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023829 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.023834 sending message 112 to peer 0x138048000 (8 bytes)
1721973758.023838 sending message 112 to peer 0x138048000 (14 bytes)
1721973758.023843 sending message 112 to peer 0x138048000 (11 bytes)
1721973758.023848 sending message 112 to peer 0x138048000 (9 bytes)
1721973758.023852 sending message 112 to peer 0x138048000 (10 bytes)
1721973758.023857 sending message 112 to peer 0x138048000 (10 bytes)
1721973758.023862 sending message 112 to peer 0x138048000 (10 bytes)
1721973758.023866 sending message 112 to peer 0x138048000 (10 bytes)
1721973758.023871 sending message 112 to peer 0x138048000 (11 bytes)
1721973758.023884 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.023887 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.023890 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.023894 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.023897 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.023900 sending message 112 to peer 0x138048000 (11 bytes)
1721973758.023903 sending message 112 to peer 0x138048000 (11 bytes)
1721973758.023906 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.023909 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.023912 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.023916 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.023919 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.023922 sending message 112 to peer 0x138048000 (9 bytes)
1721973758.023925 sending message 112 to peer 0x138048000 (12 bytes)
1721973758.023928 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023931 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023934 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023937 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023940 sending message 112 to peer 0x138048000 (13 bytes)
1721973758.023943 sending message 112 to peer 0x138048000 (8 bytes)
1721973758.023947 sending message 112 to peer 0x138048000 (11 bytes)
1721973758.023950 sending message 112 to peer 0x138048000 (11 bytes)
1721973758.023953 sending message 112 to peer 0x138048000 (11 bytes)
